pl_hostname,ra,dec,Planet Name,st_dist,pl_orbper,pl_bmassj,st_teff,pl_discmethod,st_optmag,tr_midp_jd,pl_trandur
Kepler-960,281.457163,46.746468,kepler960b,298.0,3.12686223,,4755.0,Transit,13.884,2458203.027,0.049896
WASP-135,267.284974,29.879107,wasp135b,300.0,1.4013794,1.9,5675.0,Transit,13.28,2458201.915,0.069
Kepler-674,285.176211,50.149818,kepler674b,302.0,2.24338185,,4192.0,Transit,15.135,2458202.741,0.042521
Kepler-32,297.842398,46.574281,kepler32b,303.0,5.90124,4.1,3900.0,Transit,16.452,2458202.88,0.088
Kepler-32,297.842398,46.574281,kepler32f,303.0,0.74296,,3900.0,Transit,16.452,2458201.874,0.039
HATS-1,175.525336,-23.354836,hats1b,303.0,3.446459,1.855,5870.0,Transit,12.053,2458201.796,0.1007
HAT-P-45,274.373238,-3.381036,hatp45b,305.0,3.128992,0.892,6330.0,Transit,,2458201.89,0.1436
Kepler-1312,292.971241,41.035764,kepler1312b,305.0,5.44832529,,5719.0,Transit,12.43,2458201.796,0.092712
WASP-65,133.324304,8.523038,wasp65b,310.0,2.3114243,1.55,5600.0,Transit,11.9,2458202.527,0.11396
Kepler-1627,284.056684,41.576733,kepler1627b,311.0,7.20283653,,5445.0,Transit,13.028,2458202.267,0.12025
KELT-18,216.524017,59.444275,kelt18b,311.0,2.8717518,1.18,6670.0,Transit,10.117,2458203.028,0.1935
HAT-P-36,188.266255,44.915352,hatp36b,317.0,1.327347,1.832,5560.0,Transit,12.262,2458202.62,0.0923
HAT-P-67,256.610687,44.776981,hatp67b,320.0,4.8101025,0.34,6406.0,Transit,10.069,2458202.892,0.2912
HAT-P-7,292.24731,47.969513,hatp7b,320.0,2.2047372,1.682,6441.0,Transit,10.463,2458201.937,
Kepler-808,291.59409,48.445614,kepler808b,321.0,0.63133235,,4653.0,Transit,14.285,2458201.26,0.04615
Kepler-808,291.59409,48.445614,kepler808b,321.0,0.63133235,,4653.0,Transit,14.285,2458201.891,0.04615
Kepler-808,291.59409,48.445614,kepler808b,321.0,0.63133235,,4653.0,Transit,14.285,2458201.891,0.04615
Kepler-808,291.59409,48.445614,kepler808b,321.0,0.63133235,,4653.0,Transit,14.285,2458201.26,0.04615
Kepler-1347,299.659605,40.843853,kepler1347b,321.0,14.00947528,,5193.0,Transit,13.38,2458202.161,0.14188
Kepler-808,291.59409,48.445614,kepler808b,321.0,0.63133235,,4653.0,Transit,14.285,2458203.154,0.04615
Kepler-808,291.59409,48.445614,kepler808b,321.0,0.63133235,,4653.0,Transit,14.285,2458201.891,0.04615
Kepler-808,291.59409,48.445614,kepler808b,321.0,0.63133235,,4653.0,Transit,14.285,2458203.154,0.04615
Kepler-808,291.59409,48.445614,kepler808b,321.0,0.63133235,,4653.0,Transit,14.285,2458203.154,0.04615
Kepler-808,291.59409,48.445614,kepler808b,321.0,0.63133235,,4653.0,Transit,14.285,2458201.26,0.04615
HAT-P-29,33.131142,51.778759,hatp29b,322.0,5.723186,0.778,6087.0,Transit,11.9,2458202.248,0.1407
HAT-P-49,305.441397,26.692652,hatp49b,322.0,2.691548,1.73,6820.0,Transit,10.326,2458202.961,0.1712
Kepler-1039,298.326591,45.315514,kepler1039b,324.0,0.93488424,,4870.0,Transit,14.145,2458202.086,0.059058
Kepler-1039,298.326591,45.315514,kepler1039b,324.0,0.93488424,,4870.0,Transit,14.145,2458203.021,0.059058
Kepler-1039,298.326591,45.315514,kepler1039b,324.0,0.93488424,,4870.0,Transit,14.145,2458202.086,0.059058
Kepler-1039,298.326591,45.315514,kepler1039b,324.0,0.93488424,,4870.0,Transit,14.145,2458203.021,0.059058
Kepler-1542,285.728495,42.65453,kepler1542b,336.0,3.95116882,,5564.0,Transit,12.639,2458203.229,0.107983
Kepler-1542,285.728495,42.65453,kepler1542c,336.0,2.89223021,,5564.0,Transit,12.639,2458202.27,0.10863
Kepler-463,298.937046,44.85791,kepler463b,336.0,8.98101683,,5661.0,Transit,12.87,2458202.815,0.078071
Kepler-658,282.98379,47.57859,kepler658b,341.0,1.28707676,,4103.0,Transit,15.488,2458201.201,0.062858
Kepler-1096,294.70938,45.969501,kepler1096b,344.0,2.89221751,,4306.0,Transit,15.068,2458202.268,0.056904
Kepler-1157,283.121049,43.525642,kepler1157b,346.0,4.45743164,,4679.0,Transit,14.374,2458201.255,0.098237
Kepler-1350,288.250582,46.679602,kepler1350c,350.0,1.76678906,,3827.0,Transit,16.283,2458202.841,0.055812
Kepler-1087,294.978825,46.005653,kepler1087b,354.0,0.69384285,,5589.0,Transit,12.953,2458201.957,0.063483
Kepler-1087,294.978825,46.005653,kepler1087b,354.0,0.69384285,,5589.0,Transit,12.953,2458201.957,0.063483
Kepler-1087,294.978825,46.005653,kepler1087b,354.0,0.69384285,,5589.0,Transit,12.953,2458201.263,0.063483
Kepler-1087,294.978825,46.005653,kepler1087b,354.0,0.69384285,,5589.0,Transit,12.953,2458201.263,0.063483
Kepler-80,296.112564,39.978779,kepler80d,357.0,3.07222,0.02124,4540.0,Transit,14.804,2458202.061,
Kepler-1367,288.416528,47.878731,kepler1367b,357.0,1.57409027,,4106.0,Transit,15.571,2458201.192,0.066642
Kepler-1367,288.416528,47.878731,kepler1367b,357.0,1.57409027,,4106.0,Transit,15.571,2458202.766,0.066642
Kepler-1367,288.416528,47.878731,kepler1367b,357.0,1.57409027,,4106.0,Transit,15.571,2458201.192,0.066642
Kepler-1367,288.416528,47.878731,kepler1367b,357.0,1.57409027,,4106.0,Transit,15.571,2458202.766,0.066642
