Tr_midp_date,Egress,Ingress,pl_hostname,ra,dec,Planet Name,st_dist,pl_orbper,pl_bmassj,st_teff,pl_discmethod,st_optmag,tr_midp_jd,pl_trandur
2018-03-25 08:30:14.400016,2018-03-25 09:12:45.705630,2018-03-25 07:47:43.094401,Kepler-1039,19.8884394,45.315514,kepler1039b,324.0,0.93488424,1e+20,4870.0,Transit,14.145,2458203.021,0.059058
2018-03-25 13:29:45.599984,2018-03-25 14:47:30.465569,2018-03-25 12:12:00.734400,Kepler-1542,19.048566333333333,42.65453,kepler1542b,336.0,3.95116882,1e+20,5564.0,Transit,12.639,2458203.229,0.107983
2018-03-25 12:43:40.800014,2018-03-25 12:43:40.800014,2018-03-25 12:43:40.800014,TrES-5,20.348122733333334,59.448788,tres5b,360.0,1.48224686,1.79,5171.0,Transit,13.718,2458203.197,0.0
2018-03-25 13:24:00.000008,2018-03-25 13:51:09.374393,2018-03-25 12:56:50.625623,Kepler-1331,19.804919266666666,41.22448,kepler1331b,365.0,0.78916165,1e+20,4508.0,Transit,15.031,2458203.225,0.037717
2018-03-25 08:43:11.999982,2018-03-25 09:24:44.639972,2018-03-25 08:01:39.359992,Kepler-1366,19.0043276,41.554874,kepler1366b,395.0,2.16457097,1e+20,4070.0,Transit,15.877,2458203.03,0.0577
2018-03-25 06:24:57.599991,2018-03-25 07:21:10.267193,2018-03-25 05:28:44.932788,Kepler-969,19.224833866666664,47.933556,kepler969c,411.0,1.6829346,1e+20,5214.0,Transit,13.733,2458202.934,0.078071
2018-03-25 06:24:57.599991,2018-03-25 07:21:10.267193,2018-03-25 05:28:44.932788,Kepler-969,19.224833866666664,47.933556,kepler969c,411.0,1.6829346,1e+20,5214.0,Transit,13.733,2458202.934,0.078071
2018-03-25 10:06:43.199999,2018-03-25 11:03:04.507187,2018-03-25 09:10:21.892811,Kepler-1541,18.919133600000002,48.029564,kepler1541b,414.0,8.40691199,1e+20,5282.0,Transit,13.801,2458203.088,0.078271
2018-03-25 09:00:28.799991,2018-03-25 10:21:56.534373,2018-03-25 07:39:01.065609,Kepler-601,18.800307466666666,42.176533,kepler601b,429.0,5.37886844,1e+20,5160.0,Transit,14.005,2458203.042,0.113142
2018-03-25 09:59:31.200009,2018-03-25 11:03:45.158425,2018-03-25 08:55:17.241593,Kepler-1164,19.168642266666666,38.894513,kepler1164b,447.0,3.97599768,1e+20,5183.0,Transit,14.11,2458203.083,0.089212
2018-03-25 07:34:04.799986,2018-03-25 08:28:01.343968,2018-03-25 06:40:08.256005,Kepler-1371,19.255425533333334,47.551994,kepler1371c,450.0,2.00541269,1e+20,5361.0,Transit,13.851,2458202.982,0.07492
2018-03-25 09:50:52.800004,2018-03-25 11:38:26.880024,2018-03-25 08:03:18.719984,HATS-3,20.830496,-24.428793,hats3b,453.0,3.547851,1.071,6351.0,Transit,12.44,2458203.077,0.1494
2018-03-25 12:27:50.400019,2018-03-25 13:11:43.612813,2018-03-25 11:43:57.187225,Kepler-1222,19.659310333333334,49.379768,kepler1222b,455.0,1.91694425,1e+20,5239.0,Transit,14.1,2458203.186,0.060954
2018-03-25 12:27:50.400019,2018-03-25 13:11:43.612813,2018-03-25 11:43:57.187225,Kepler-1222,19.659310333333334,49.379768,kepler1222b,455.0,1.91694425,1e+20,5239.0,Transit,14.1,2458203.186,0.060954
2018-03-25 08:18:43.199983,2018-03-25 08:49:58.943983,2018-03-25 07:47:27.455983,Kepler-1107,19.403328466666668,39.141674,kepler1107b,457.0,0.57103852,1e+20,5268.0,Transit,14.098,2458203.013,0.04342
2018-03-25 08:18:43.199983,2018-03-25 08:49:58.943983,2018-03-25 07:47:27.455983,Kepler-1107,19.403328466666668,39.141674,kepler1107b,457.0,0.57103852,1e+20,5268.0,Transit,14.098,2458203.013,0.04342
2018-03-25 10:51:21.599995,2018-03-25 12:05:52.065589,2018-03-25 09:36:51.134402,Kepler-537,19.325375599999997,51.277081,kepler537b,465.0,3.24755522,1e+20,5763.0,Transit,13.1,2458203.119,0.103483
2018-03-25 14:44:38.399996,2018-03-25 15:27:50.054416,2018-03-25 14:01:26.745577,Kepler-845,19.397171,49.203812,kepler845b,471.0,0.92785982,1e+20,4913.0,Transit,14.631,2458203.281,0.059992
2018-03-25 13:39:50.400003,2018-03-25 14:45:39.744021,2018-03-25 12:34:01.055985,Kepler-1443,18.895717400000002,47.066855,kepler1443b,475.0,2.41811321,1e+20,6289.0,Transit,12.278,2458203.236,0.09142
2018-03-25 07:15:21.600004,2018-03-25 08:59:28.320014,2018-03-25 05:31:14.879993,Kepler-1163,19.3490562,50.030087,kepler1163b,487.0,6.11786898,1e+20,6302.0,Transit,12.168,2458202.969,0.1446
2018-03-25 14:51:50.399987,2018-03-25 15:39:35.855979,2018-03-25 14:04:04.943994,Kepler-1387,19.4960264,43.209431,kepler1387b,491.0,2.27952666,1e+20,5046.0,Transit,14.589,2458203.286,0.06633
2018-03-25 07:11:02.400001,2018-03-25 08:55:35.212809,2018-03-25 05:26:29.587194,Kepler-625,19.47669726666667,39.637581,kepler625b,502.0,7.75192492,1e+20,5789.0,Transit,13.307,2458202.966,0.145204
2018-03-25 11:02:52.799988,2018-03-25 11:36:31.319999,2018-03-25 10:29:14.279977,Kepler-1197,19.444618133333332,42.59071,kepler1197b,505.0,2.03231845,1e+20,4708.0,Transit,15.13,2458203.127,0.046725
2018-03-25 07:06:43.199999,2018-03-25 07:40:53.472000,2018-03-25 06:32:32.927998,Kepler-1566,18.90584093333333,40.574927,kepler1566b,511.0,0.53991524,1e+20,5254.0,Transit,14.311,2458202.963,0.04746
2018-03-25 07:06:43.199999,2018-03-25 07:40:53.472000,2018-03-25 06:32:32.927998,Kepler-1566,18.90584093333333,40.574927,kepler1566b,511.0,0.53991524,1e+20,5254.0,Transit,14.311,2458202.963,0.04746
2018-03-25 10:18:14.399992,2018-03-25 11:17:56.760001,2018-03-25 09:18:32.039982,Kepler-1332,19.401906,43.913673,kepler1332b,515.0,11.87456832,1e+20,5581.0,Transit,13.756,2458203.096,0.082925
2018-03-25 12:27:50.400019,2018-03-25 13:20:07.454418,2018-03-25 11:35:33.345620,Kepler-1323,19.524818933333332,46.098885,kepler1323b,530.0,0.92990668,1e+20,6169.0,Transit,12.41,2458203.186,0.072617
2018-03-25 12:27:50.400019,2018-03-25 13:20:07.454418,2018-03-25 11:35:33.345620,Kepler-1323,19.524818933333332,46.098885,kepler1323b,530.0,0.92990668,1e+20,6169.0,Transit,12.41,2458203.186,0.072617
2018-03-25 15:32:09.599981,2018-03-25 16:05:02.932790,2018-03-25 14:59:16.267172,Kepler-1228,19.770205533333336,46.96629,kepler1228b,547.0,0.57736958,1e+20,5063.0,Transit,14.859,2458203.314,0.045679
